#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0006281	DNA repair	7	497	1.4	3.25e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000491742,9606.ENSP00000498881	TP53,ATM,FANCA,SETD2,BRCA1,BIVM-ERCC5,ERCC5
Monarch	HP:0011792	Neoplasm by histology	8	275	1.72	5.29e-10	9606.ENSP00000269305,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,GNAS,BMPR1A,WT1,MAP3K1,SETD2,BRCA1,ERCC5
Monarch	HP:0010461	Abnormality of the male genitalia	10	951	1.27	1.33e-09	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,MAP3K1,SETD2,BRCA1,ERCC5
Monarch	HP:0000137	Abnormality of the ovary	7	165	1.88	1.67e-09	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000368370,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,GNAS,WT1,MAP3K1,SETD2,BRCA1
Monarch	HP:0000135	Hypogonadism	8	343	1.62	2.00e-09	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,WT1,FANCA,MAP3K1,BRCA1,ERCC5
Monarch	HP:0000818	Abnormality of the endocrine system	10	1070	1.22	2.99e-09	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,MAP3K1,SETD2,BRCA1,ERCC5
Monarch	HP:0000080	Abnormality of reproductive system physiology	9	659	1.39	3.21e-09	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,WT1,FANCA,MAP3K1,SETD2,BRCA1,ERCC5
Monarch	HP:0000035	Abnormal testis morphology	9	793	1.31	1.40e-08	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,WT1,FANCA,MAP3K1,SETD2,BRCA1,ERCC5
Monarch	HP:0010787	Genital neoplasm	6	118	1.96	2.15e-08	9606.ENSP00000269305,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960	TP53,BMPR1A,WT1,MAP3K1,SETD2,BRCA1
Monarch	HP:0010785	Gonadal neoplasm	5	76	2.07	2.86e-07	9606.ENSP00000269305,9606.ENSP00000368370,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960	TP53,WT1,MAP3K1,SETD2,BRCA1
Monarch	HP:0001824	Weight loss	6	218	1.69	5.16e-07	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,WT1,FANCA,BRCA1,ERCC5
Monarch	HP:0000119	Abnormality of the genitourinary system	10	2189	0.91	1.56e-06	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,MAP3K1,SETD2,BRCA1,ERCC5
Monarch	HP:0001507	Growth abnormality	10	2182	0.91	1.56e-06	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,MAP3K1,SETD2,BRCA1,ERCC5
Monarch	HP:0030012	Abnormal female reproductive system physiology	6	273	1.6	1.69e-06	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000368370,9606.ENSP00000382423,9606.ENSP00000386759	TP53,ATM,GNAS,WT1,MAP3K1,SETD2
Monarch	HP:0032251	Abnormal immune system morphology	7	545	1.36	1.90e-06	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,GNAS,BMPR1A,FANCA,SETD2,BRCA1
Monarch	HP:0100728	Germ cell neoplasia	4	35	2.31	2.01e-06	9606.ENSP00000269305,9606.ENSP00000368370,9606.ENSP00000382423,9606.ENSP00000386759	TP53,WT1,MAP3K1,SETD2
Monarch	HP:0004323	Abnormality of body weight	9	1513	1.03	2.06e-06	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,SETD2,BRCA1,ERCC5
Monarch	HP:0001510	Growth delay	9	1525	1.02	2.13e-06	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,FANCA,MAP3K1,SETD2,BRCA1,ERCC5
Monarch	HP:0031065	Abnormal ovarian morphology	5	125	1.86	2.18e-06	9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000368370,9606.ENSP00000382423,9606.ENSP00000386759	ATM,GNAS,WT1,MAP3K1,SETD2
Monarch	HP:0000953	Hyperpigmentation of the skin	6	297	1.56	2.21e-06	9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	ATM,GNAS,FANCA,SETD2,BRCA1,ERCC5
Monarch	HP:0033019	Male reproductive system neoplasm	4	41	2.24	3.04e-06	9606.ENSP00000269305,9606.ENSP00000361107,9606.ENSP00000382423,9606.ENSP00000418960	TP53,BMPR1A,MAP3K1,BRCA1
Monarch	HP:0001626	Abnormality of the cardiovascular system	10	2438	0.87	3.20e-06	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,MAP3K1,SETD2,BRCA1,ERCC5
Monarch	HP:0002012	Abnormality of the abdominal organs	8	1068	1.13	4.05e-06	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,SETD2,BRCA1
Monarch	HP:0002597	Abnormality of the vasculature	9	1673	0.98	4.05e-06	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,SETD2,BRCA1,ERCC5
Monarch	HP:0002715	Abnormality of the immune system	9	1682	0.98	4.05e-06	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,SETD2,BRCA1,ERCC5
Monarch	HP:0011842	Abnormal skeletal morphology	10	2573	0.84	4.84e-06	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,MAP3K1,SETD2,BRCA1,ERCC5
Monarch	HP:0045058	Abnormality of the testis size	5	161	1.75	5.83e-06	9606.ENSP00000360141,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000418960,9606.ENSP00000498881	GNAS,FANCA,MAP3K1,BRCA1,ERCC5
Monarch	HP:0100615	Ovarian neoplasm	4	52	2.14	6.10e-06	9606.ENSP00000269305,9606.ENSP00000368370,9606.ENSP00000382423,9606.ENSP00000418960	TP53,WT1,MAP3K1,BRCA1
Monarch	HP:0003002	Breast carcinoma	4	54	2.12	6.86e-06	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000418960	TP53,ATM,GNAS,BRCA1
Monarch	HP:0000815	Hypergonadotropic hypogonadism	4	56	2.11	7.50e-06	9606.ENSP00000360141,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423	GNAS,WT1,FANCA,MAP3K1
Monarch	HP:0000138	Ovarian cyst	4	57	2.1	7.83e-06	9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000382423,9606.ENSP00000386759	ATM,GNAS,MAP3K1,SETD2
Monarch	HP:0002898	Embryonal neoplasm	4	61	2.07	9.91e-06	9606.ENSP00000269305,9606.ENSP00000368370,9606.ENSP00000382423,9606.ENSP00000386759	TP53,WT1,MAP3K1,SETD2
Monarch	HP:0001034	Hypermelanotic macule	5	194	1.66	1.18e-05	9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000373952,9606.ENSP00000418960,9606.ENSP00000498881	ATM,GNAS,FANCA,BRCA1,ERCC5
Monarch	HP:0004325	Decreased body weight	8	1274	1.05	1.18e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,BRCA1,ERCC5
Monarch	HP:0033353	Abnormal blood vessel morphology	7	792	1.2	1.30e-05	9606.ENSP00000269305,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,BMPR1A,WT1,FANCA,SETD2,BRCA1,ERCC5
Monarch	HP:0010978	Abnormality of immune system physiology	8	1347	1.03	1.60e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,FANCA,SETD2,BRCA1,ERCC5
Monarch	HP:0011354	Generalized abnormality of skin	7	821	1.18	1.60e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,FANCA,SETD2,ERCC5
Monarch	HP:0012372	Abnormal eye morphology	9	2077	0.89	1.73e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,SETD2,BRCA1,ERCC5
Monarch	HP:0007378	Neoplasm of the gastrointestinal tract	5	221	1.61	1.90e-05	9606.ENSP00000269305,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000418960	TP53,GNAS,BMPR1A,WT1,BRCA1
Monarch	HP:0011024	Abnormality of the gastrointestinal tract	8	1384	1.02	1.90e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,SETD2,BRCA1
Monarch	HP:0000140	Abnormality of the menstrual cycle	5	228	1.59	2.14e-05	9606.ENSP00000269305,9606.ENSP00000360141,9606.ENSP00000368370,9606.ENSP00000382423,9606.ENSP00000386759	TP53,GNAS,WT1,MAP3K1,SETD2
Monarch	HP:0004377	Hematological neoplasm	5	232	1.59	2.25e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,FANCA,SETD2,BRCA1
Monarch	HP:0001939	Abnormality of metabolism/homeostasis	9	2168	0.87	2.26e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,SETD2,BRCA1,ERCC5
Monarch	HP:0033127	Abnormality of the musculoskeletal system	10	3173	0.75	2.32e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,MAP3K1,SETD2,BRCA1,ERCC5
Monarch	HP:0001392	Abnormality of the liver	7	895	1.15	2.35e-05	9606.ENSP00000269305,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960	TP53,GNAS,BMPR1A,WT1,FANCA,SETD2,BRCA1
Monarch	HP:0009121	Abnormal axial skeleton morphology	9	2206	0.86	2.51e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,SETD2,BRCA1,ERCC5
Monarch	HP:0000366	Abnormality of the nose	8	1470	0.99	2.60e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,FANCA,SETD2,BRCA1,ERCC5
Monarch	HP:0000144	Decreased fertility	5	245	1.56	2.65e-05	9606.ENSP00000360141,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960	GNAS,FANCA,MAP3K1,SETD2,BRCA1
Monarch	HP:0001881	Abnormal leukocyte morphology	6	517	1.32	2.67e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,GNAS,FANCA,SETD2,BRCA1
Monarch	HP:0010987	Abnormal cellular immune system morphology	6	517	1.32	2.67e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,GNAS,FANCA,SETD2,BRCA1
Monarch	HP:0011277	Abnormality of the urinary system physiology	7	933	1.13	2.80e-05	9606.ENSP00000360141,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	GNAS,WT1,FANCA,MAP3K1,SETD2,BRCA1,ERCC5
Monarch	HP:0012443	Abnormality of brain morphology	9	2254	0.85	2.80e-05	9606.ENSP00000269305,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,GNAS,BMPR1A,WT1,FANCA,MAP3K1,SETD2,BRCA1,ERCC5
Monarch	HP:0001574	Abnormality of the integument	9	2266	0.85	2.84e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,FANCA,MAP3K1,SETD2,BRCA1,ERCC5
Monarch	HP:0012125	Prostate cancer	3	18	2.47	3.02e-05	9606.ENSP00000269305,9606.ENSP00000361107,9606.ENSP00000418960	TP53,BMPR1A,BRCA1
Monarch	HP:0012378	Fatigue	5	258	1.54	3.03e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,ERCC5
Monarch	HP:0012211	Abnormal renal physiology	6	560	1.28	3.78e-05	9606.ENSP00000360141,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960	GNAS,WT1,FANCA,MAP3K1,SETD2,BRCA1
Monarch	EFO:0003765	Sign or symptom	6	573	1.27	4.21e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,WT1,ERCC5
Monarch	HP:0025031	Abnormality of the digestive system	9	2389	0.83	4.21e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,SETD2,BRCA1,ERCC5
Monarch	HP:0000707	Abnormality of the nervous system	10	3471	0.71	4.33e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,MAP3K1,SETD2,BRCA1,ERCC5
Monarch	HP:0002086	Abnormality of the respiratory system	8	1636	0.94	4.67e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,GNAS,BMPR1A,WT1,FANCA,SETD2,BRCA1
Monarch	HP:0011121	Abnormality of skin morphology	8	1648	0.94	4.88e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,FANCA,SETD2,BRCA1,ERCC5
Monarch	HP:0000079	Abnormality of the urinary system	8	1657	0.94	5.03e-05	9606.ENSP00000269305,9606.ENSP00000360141,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,GNAS,WT1,FANCA,MAP3K1,SETD2,BRCA1,ERCC5
Monarch	HP:0008669	Abnormal spermatogenesis	4	112	1.81	5.42e-05	9606.ENSP00000278616,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000418960	ATM,FANCA,MAP3K1,BRCA1
Monarch	HP:0030680	Abnormality of cardiovascular system morphology	8	1680	0.93	5.46e-05	9606.ENSP00000269305,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,BMPR1A,WT1,FANCA,MAP3K1,SETD2,BRCA1,ERCC5
Monarch	HP:0012252	Abnormal respiratory system morphology	7	1067	1.07	5.53e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,BMPR1A,WT1,FANCA,SETD2,BRCA1
Monarch	HP:0000028	Cryptorchidism	6	619	1.24	5.75e-05	9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	WT1,FANCA,MAP3K1,SETD2,BRCA1,ERCC5
Monarch	HP:0000077	Abnormality of the kidney	7	1077	1.07	5.75e-05	9606.ENSP00000269305,9606.ENSP00000360141,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960	TP53,GNAS,WT1,FANCA,MAP3K1,SETD2,BRCA1
Monarch	HP:0012639	Abnormal nervous system morphology	9	2546	0.8	6.15e-05	9606.ENSP00000269305,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,GNAS,BMPR1A,WT1,FANCA,MAP3K1,SETD2,BRCA1,ERCC5
Monarch	HP:0000864	Abnormality of the hypothalamus-pituitary axis	5	314	1.46	6.37e-05	9606.ENSP00000360141,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000418960	GNAS,WT1,FANCA,MAP3K1,BRCA1
Monarch	HP:0010935	Abnormality of the upper urinary tract	7	1101	1.06	6.45e-05	9606.ENSP00000269305,9606.ENSP00000360141,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960	TP53,GNAS,WT1,FANCA,MAP3K1,SETD2,BRCA1
Monarch	HP:0003330	Abnormal bone structure	6	639	1.23	6.53e-05	9606.ENSP00000269305,9606.ENSP00000360141,9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000418960	TP53,GNAS,FANCA,MAP3K1,SETD2,BRCA1
Monarch	HP:0000927	Abnormality of skeletal maturation	5	327	1.44	7.50e-05	9606.ENSP00000269305,9606.ENSP00000360141,9606.ENSP00000382423,9606.ENSP00000386759,9606.ENSP00000498881	TP53,GNAS,MAP3K1,SETD2,ERCC5
Monarch	HP:0031093	Abnormal breast morphology	5	332	1.43	7.99e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000382423,9606.ENSP00000418960	TP53,ATM,GNAS,MAP3K1,BRCA1
Monarch	HP:0100006	Neoplasm of the central nervous system	4	128	1.75	8.02e-05	9606.ENSP00000269305,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000386759	TP53,GNAS,BMPR1A,SETD2
Monarch	HP:0004322	Short stature	7	1152	1.04	8.21e-05	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,FANCA,SETD2,BRCA1,ERCC5
Monarch	HP:0002242	Abnormal intestine morphology	6	673	1.2	8.28e-05	9606.ENSP00000269305,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960	TP53,GNAS,BMPR1A,FANCA,SETD2,BRCA1
Monarch	HP:0100587	Abnormal preputium morphology	3	30	2.25	8.79e-05	9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960	FANCA,SETD2,BRCA1
Monarch	HP:0100579	Mucosal telangiectasiae	3	32	2.23	0.00010	9606.ENSP00000278616,9606.ENSP00000361107,9606.ENSP00000498881	ATM,BMPR1A,ERCC5
Monarch	HP:0001871	Abnormality of blood and blood-forming tissues	7	1214	1.01	0.00011	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960	TP53,ATM,GNAS,BMPR1A,FANCA,SETD2,BRCA1
Monarch	HP:0001909	Leukemia	4	141	1.71	0.00011	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000373952,9606.ENSP00000386759	TP53,ATM,FANCA,SETD2
Monarch	HP:0002667	Nephroblastoma	3	33	2.21	0.00011	9606.ENSP00000269305,9606.ENSP00000368370,9606.ENSP00000382423	TP53,WT1,MAP3K1
Monarch	HP:0030669	Abnormal ocular adnexa morphology	7	1218	1.01	0.00011	9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	ATM,GNAS,BMPR1A,FANCA,SETD2,BRCA1,ERCC5
Monarch	HP:0100543	Cognitive impairment	8	1903	0.88	0.00011	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,FANCA,SETD2,BRCA1,ERCC5
Monarch	HP:0010468	Aplasia/Hypoplasia of the testes	4	146	1.69	0.00012	9606.ENSP00000373952,9606.ENSP00000382423,9606.ENSP00000418960,9606.ENSP00000498881	FANCA,MAP3K1,BRCA1,ERCC5
Monarch	HP:0000002	Abnormality of body height	7	1253	1.0	0.00013	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,FANCA,SETD2,BRCA1,ERCC5
Monarch	HP:0000929	Abnormal skull morphology	8	1954	0.87	0.00013	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,FANCA,SETD2,BRCA1,ERCC5
Monarch	HP:0012337	Abnormal homeostasis	7	1275	0.99	0.00014	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000386759,9606.ENSP00000498881	TP53,ATM,GNAS,BMPR1A,WT1,SETD2,ERCC5
Monarch	HP:0002118	Abnormal cerebral ventricle morphology	6	765	1.15	0.00015	9606.ENSP00000269305,9606.ENSP00000360141,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	TP53,GNAS,FANCA,SETD2,BRCA1,ERCC5
Monarch	HP:0003549	Abnormality of connective tissue	7	1294	0.99	0.00015	9606.ENSP00000360141,9606.ENSP00000361107,9606.ENSP00000368370,9606.ENSP00000373952,9606.ENSP00000386759,9606.ENSP00000418960,9606.ENSP00000498881	GNAS,BMPR1A,WT1,FANCA,SETD2,BRCA1,ERCC5
