#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0035825	Homologous recombination	5	63	2.11	5.13e-06	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000418960	BARD1,ATM,FANCD2,ERCC4,BRCA1
GO Component	GO:0000152	Nuclear ubiquitin ligase complex	3	46	2.03	0.0021	9606.ENSP00000260947,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,BRCA2,BRCA1
GO Component	GO:0031436	BRCA1-BARD1 complex	2	4	2.91	0.0026	9606.ENSP00000260947,9606.ENSP00000418960	BARD1,BRCA1
GO Component	GO:0070532	BRCA1-B complex	2	4	2.91	0.0026	9606.ENSP00000260947,9606.ENSP00000418960	BARD1,BRCA1
GO Component	GO:0070533	BRCA1-C complex	2	6	2.74	0.0032	9606.ENSP00000260947,9606.ENSP00000418960	BARD1,BRCA1
GO Component	GO:0070531	BRCA1-A complex	2	8	2.61	0.0045	9606.ENSP00000260947,9606.ENSP00000418960	BARD1,BRCA1
GO Component	GO:0005694	Chromosome	7	1850	0.79	0.0086	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000414150,9606.ENSP00000418960	APC,FANCD2,ERCC4,BRCA2,PBRM1,ERG,BRCA1
GO Component	GO:0000800	Lateral element	2	14	2.37	0.0092	9606.ENSP00000369497,9606.ENSP00000418960	BRCA2,BRCA1
GO Component	GO:0098687	Chromosomal region	4	365	1.26	0.0109	9606.ENSP00000257430,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000386593	APC,ERCC4,BRCA2,PBRM1
GO Component	GO:0043232	Intracellular non-membrane-bounded organelle	10	5191	0.5	0.0116	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000414150,9606.ENSP00000418960	APC,BARD1,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,PBRM1,ERG,BRCA1
GO Component	GO:0005815	Microtubule organizing center	5	825	1.0	0.0127	9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000302486,9606.ENSP00000369497,9606.ENSP00000418960	APC,ATM,MAP2K1,BRCA2,BRCA1
GO Component	GO:0032991	Protein-containing complex	10	5506	0.47	0.0157	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000414150,9606.ENSP00000418960	APC,BARD1,NTRK2,ATM,FANCD2,ERCC4,BRCA2,PBRM1,ERG,BRCA1
GO Component	GO:0000228	Nuclear chromosome	3	244	1.3	0.0474	9606.ENSP00000369497,9606.ENSP00000386593,9606.ENSP00000418960	BRCA2,PBRM1,BRCA1
STRING clusters	CL:6147	DNA repair pathways, full network, and HDR through Homologous Recombination (HRR)	6	96	2.01	6.82e-08	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ATM,FANCD2,ERCC4,BRCA2,BRCA1
STRING clusters	CL:6148	Diseases of DNA repair, and DNA repair complex	5	76	2.03	6.10e-07	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ATM,ERCC4,BRCA2,BRCA1
STRING clusters	CL:6150	Resolution of D-loop Structures through Holliday Junction Intermediates, and RIDDLE syndrome	4	35	2.27	4.18e-06	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ATM,BRCA2,BRCA1
STRING clusters	CL:6195	BRCA1-C complex, and NIPBL role in DNA damage - Cornelia de Lange syndrome	3	12	2.61	3.97e-05	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000418960	BARD1,ATM,BRCA1
STRING clusters	CL:6207	BRCA1-C complex	2	6	2.74	0.0043	9606.ENSP00000260947,9606.ENSP00000418960	BARD1,BRCA1
KEGG	hsa03440	Homologous recombination	4	38	2.24	2.92e-06	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ATM,BRCA2,BRCA1
KEGG	hsa03460	Fanconi anemia pathway	4	51	2.11	4.44e-06	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
KEGG	hsa05224	Breast cancer	4	146	1.65	0.00017	9606.ENSP00000257430,9606.ENSP00000302486,9606.ENSP00000369497,9606.ENSP00000418960	APC,MAP2K1,BRCA2,BRCA1
KEGG	hsa05206	MicroRNAs in cancer	4	159	1.62	0.00018	9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000302486,9606.ENSP00000418960	APC,ATM,MAP2K1,BRCA1
KEGG	hsa04722	Neurotrophin signaling pathway	3	112	1.64	0.0028	9606.ENSP00000277120,9606.ENSP00000302486,9606.ENSP00000382423	NTRK2,MAP2K1,MAP3K1
KEGG	hsa05225	Hepatocellular carcinoma	3	161	1.49	0.0066	9606.ENSP00000257430,9606.ENSP00000302486,9606.ENSP00000386593	APC,MAP2K1,PBRM1
KEGG	hsa05166	Human T-cell leukemia virus 1 infection	3	210	1.37	0.0122	9606.ENSP00000278616,9606.ENSP00000302486,9606.ENSP00000382423	ATM,MAP2K1,MAP3K1
KEGG	hsa04010	MAPK signaling pathway	3	286	1.24	0.0248	9606.ENSP00000277120,9606.ENSP00000302486,9606.ENSP00000382423	NTRK2,MAP2K1,MAP3K1
KEGG	hsa05213	Endometrial cancer	2	58	1.75	0.0248	9606.ENSP00000257430,9606.ENSP00000302486	APC,MAP2K1
KEGG	hsa01524	Platinum drug resistance	2	70	1.67	0.0285	9606.ENSP00000278616,9606.ENSP00000418960	ATM,BRCA1
KEGG	hsa04151	PI3K-Akt signaling pathway	3	349	1.15	0.0285	9606.ENSP00000277120,9606.ENSP00000302486,9606.ENSP00000418960	NTRK2,MAP2K1,BRCA1
KEGG	hsa05165	Human papillomavirus infection	3	324	1.18	0.0285	9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000302486	APC,ATM,MAP2K1
KEGG	hsa05210	Colorectal cancer	2	82	1.6	0.0285	9606.ENSP00000257430,9606.ENSP00000302486	APC,MAP2K1
KEGG	hsa05212	Pancreatic cancer	2	71	1.67	0.0285	9606.ENSP00000302486,9606.ENSP00000369497	MAP2K1,BRCA2
KEGG	hsa04912	GnRH signaling pathway	2	87	1.58	0.0289	9606.ENSP00000302486,9606.ENSP00000382423	MAP2K1,MAP3K1
KEGG	hsa05215	Prostate cancer	2	97	1.53	0.0335	9606.ENSP00000302486,9606.ENSP00000414150	MAP2K1,ERG
KEGG	hsa04935	Growth hormone synthesis, secretion and action	2	117	1.45	0.0453	9606.ENSP00000302486,9606.ENSP00000382423	MAP2K1,MAP3K1
KEGG	hsa04068	FoxO signaling pathway	2	126	1.42	0.0494	9606.ENSP00000278616,9606.ENSP00000302486	ATM,MAP2K1
Reactome	HSA-5685938	HDR through Single Strand Annealing (SSA)	4	37	2.25	3.65e-06	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000310520,9606.ENSP00000418960	BARD1,ATM,ERCC4,BRCA1
Reactome	HSA-5693554	Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	4	26	2.4	3.65e-06	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ATM,BRCA2,BRCA1
Reactome	HSA-5693567	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	5	113	1.86	3.65e-06	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ATM,ERCC4,BRCA2,BRCA1
Reactome	HSA-5693568	Resolution of D-loop Structures through Holliday Junction Intermediates	4	32	2.31	3.65e-06	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ATM,BRCA2,BRCA1
Reactome	HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	4	39	2.23	3.65e-06	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ATM,BRCA2,BRCA1
Reactome	HSA-73894	DNA Repair	6	310	1.5	3.65e-06	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ATM,FANCD2,ERCC4,BRCA2,BRCA1
Reactome	HSA-9701192	Defective homologous recombination repair (HRR) due to BRCA1 loss of function	4	24	2.44	3.65e-06	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ATM,BRCA2,BRCA1
Reactome	HSA-9704331	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function	4	24	2.44	3.65e-06	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ATM,BRCA2,BRCA1
Reactome	HSA-9704646	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function	4	24	2.44	3.65e-06	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ATM,BRCA2,BRCA1
Reactome	HSA-9709570	Impaired BRCA2 binding to RAD51	4	34	2.29	3.65e-06	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ATM,BRCA2,BRCA1
Reactome	HSA-9709603	Impaired BRCA2 binding to PALB2	4	24	2.44	3.65e-06	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ATM,BRCA2,BRCA1
Reactome	HSA-9663199	Defective DNA double strand break response due to BRCA1 loss of function	2	2	3.22	0.00022	9606.ENSP00000260947,9606.ENSP00000418960	BARD1,BRCA1
Reactome	HSA-9699150	Defective DNA double strand break response due to BARD1 loss of function	2	2	3.22	0.00022	9606.ENSP00000260947,9606.ENSP00000418960	BARD1,BRCA1
Reactome	HSA-5693571	Nonhomologous End-Joining (NHEJ)	3	51	1.98	0.00042	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000418960	BARD1,ATM,BRCA1
Reactome	HSA-912446	Meiotic recombination	3	56	1.94	0.00052	9606.ENSP00000278616,9606.ENSP00000369497,9606.ENSP00000418960	ATM,BRCA2,BRCA1
Reactome	HSA-5693565	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	3	60	1.91	0.00061	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000418960	BARD1,ATM,BRCA1
Reactome	HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	3	62	1.9	0.00062	9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000418960	ATM,FANCD2,BRCA1
Reactome	HSA-69473	G2/M DNA damage checkpoint	3	77	1.81	0.0011	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000418960	BARD1,ATM,BRCA1
Reactome	HSA-5693607	Processing of DNA double-strand break ends	3	80	1.79	0.0012	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000418960	BARD1,ATM,BRCA1
Reactome	HSA-6804756	Regulation of TP53 Activity through Phosphorylation	3	92	1.73	0.0017	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000418960	BARD1,ATM,BRCA1
Reactome	HSA-3700989	Transcriptional Regulation by TP53	4	361	1.26	0.0035	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000418960	BARD1,ATM,FANCD2,BRCA1
Reactome	HSA-5689901	Metalloprotease DUBs	2	30	2.04	0.0106	9606.ENSP00000260947,9606.ENSP00000418960	BARD1,BRCA1
Reactome	HSA-1643685	Disease	6	1702	0.76	0.0151	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000302486,9606.ENSP00000369497,9606.ENSP00000418960	APC,BARD1,ATM,MAP2K1,BRCA2,BRCA1
Reactome	HSA-6783310	Fanconi Anemia Pathway	2	37	1.95	0.0151	9606.ENSP00000287647,9606.ENSP00000310520	FANCD2,ERCC4
Reactome	HSA-1640170	Cell Cycle	4	658	1.0	0.0289	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ATM,BRCA2,BRCA1
Reactome	HSA-212436	Generic Transcription Pathway	5	1215	0.83	0.0289	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000386593,9606.ENSP00000418960	BARD1,ATM,FANCD2,PBRM1,BRCA1
Reactome	HSA-5688426	Deubiquitination	3	280	1.25	0.0318	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000418960	APC,BARD1,BRCA1
WikiPathways	WP4016	DNA IR-damage and cellular response via ATR	5	81	2.01	8.49e-07	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000369497,9606.ENSP00000418960	BARD1,ATM,FANCD2,BRCA2,BRCA1
WikiPathways	WP5087	Malignant pleural mesothelioma	7	434	1.42	8.49e-07	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000277120,9606.ENSP00000278616,9606.ENSP00000302486,9606.ENSP00000382423,9606.ENSP00000418960	APC,BARD1,NTRK2,ATM,MAP2K1,MAP3K1,BRCA1
WikiPathways	WP2263	Androgen receptor network in prostate cancer	5	109	1.88	1.18e-06	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000302486,9606.ENSP00000414150,9606.ENSP00000418960	BARD1,ATM,MAP2K1,ERG,BRCA1
WikiPathways	WP4946	DNA repair pathways, full network	5	120	1.84	1.41e-06	9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	ATM,FANCD2,ERCC4,BRCA2,BRCA1
WikiPathways	WP4262	Breast cancer pathway	5	154	1.73	3.79e-06	9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000302486,9606.ENSP00000369497,9606.ENSP00000418960	APC,ATM,MAP2K1,BRCA2,BRCA1
WikiPathways	WP3959	DNA IR-double strand breaks and cellular response via ATM	4	55	2.08	4.58e-06	9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000369497,9606.ENSP00000418960	ATM,FANCD2,BRCA2,BRCA1
WikiPathways	WP2261	Glioblastoma signaling pathways	4	82	1.9	1.82e-05	9606.ENSP00000278616,9606.ENSP00000302486,9606.ENSP00000369497,9606.ENSP00000418960	ATM,MAP2K1,BRCA2,BRCA1
WikiPathways	WP2380	Brain-derived neurotrophic factor (BDNF) signaling pathway	4	143	1.66	0.00014	9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000302486,9606.ENSP00000382423	APC,NTRK2,MAP2K1,MAP3K1
WikiPathways	WP2516	ATM signaling pathway	3	40	2.09	0.00018	9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000418960	ATM,FANCD2,BRCA1
WikiPathways	WP1971	Integrated cancer pathway	3	44	2.05	0.00022	9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000418960	BARD1,ATM,BRCA1
WikiPathways	WP1530	miRNA regulation of DNA damage response	3	71	1.84	0.00071	9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000418960	ATM,FANCD2,BRCA1
WikiPathways	WP707	DNA damage response	3	69	1.85	0.00071	9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000418960	ATM,FANCD2,BRCA1
WikiPathways	WP5118	SMC1/SMC3 role in DNA damage - Cornelia de Lange Syndrome	2	11	2.47	0.0016	9606.ENSP00000278616,9606.ENSP00000418960	ATM,BRCA1
WikiPathways	WP186	Homologous recombination	2	13	2.4	0.0020	9606.ENSP00000278616,9606.ENSP00000369497	ATM,BRCA2
WikiPathways	WP710	DNA damage response (only ATM dependent)	3	109	1.65	0.0020	9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000382423	APC,ATM,MAP3K1
WikiPathways	WP5322	CKAP4 signaling pathway map	3	114	1.64	0.0021	9606.ENSP00000278616,9606.ENSP00000302486,9606.ENSP00000418960	ATM,MAP2K1,BRCA1
WikiPathways	WP5316	Primary ovarian insufficiency	3	171	1.46	0.0064	9606.ENSP00000278616,9606.ENSP00000369497,9606.ENSP00000418960	ATM,BRCA2,BRCA1
WikiPathways	WP3972	PDGFR-beta pathway	2	29	2.05	0.0068	9606.ENSP00000302486,9606.ENSP00000382423	MAP2K1,MAP3K1
WikiPathways	WP3676	BDNF-TrkB signaling	2	33	2.0	0.0078	9606.ENSP00000277120,9606.ENSP00000302486	NTRK2,MAP2K1
WikiPathways	WP422	MAPK cascade	2	32	2.01	0.0078	9606.ENSP00000302486,9606.ENSP00000382423	MAP2K1,MAP3K1
WikiPathways	WP4877	Host-pathogen interaction of human coronaviruses - MAPK signaling	2	35	1.97	0.0083	9606.ENSP00000302486,9606.ENSP00000382423	MAP2K1,MAP3K1
WikiPathways	WP722	Serotonin HTR1 group and FOS pathway	2	37	1.95	0.0088	9606.ENSP00000302486,9606.ENSP00000382423	MAP2K1,MAP3K1
WikiPathways	WP2526	PDGF pathway	2	40	1.91	0.0098	9606.ENSP00000302486,9606.ENSP00000382423	MAP2K1,MAP3K1
WikiPathways	WP2637	Interleukin-1 (IL-1) structural pathway	2	48	1.84	0.0130	9606.ENSP00000302486,9606.ENSP00000382423	MAP2K1,MAP3K1
WikiPathways	WP382	MAPK signaling pathway	3	245	1.3	0.0130	9606.ENSP00000277120,9606.ENSP00000302486,9606.ENSP00000382423	NTRK2,MAP2K1,MAP3K1
WikiPathways	WP195	IL-1 signaling pathway	2	55	1.78	0.0154	9606.ENSP00000302486,9606.ENSP00000382423	MAP2K1,MAP3K1
WikiPathways	WP2795	Cardiac hypertrophic response	2	54	1.78	0.0154	9606.ENSP00000302486,9606.ENSP00000382423	MAP2K1,MAP3K1
WikiPathways	WP4155	Endometrial cancer	2	63	1.72	0.0193	9606.ENSP00000257430,9606.ENSP00000302486	APC,MAP2K1
WikiPathways	WP3651	Pathways affected in adenoid cystic carcinoma	2	65	1.7	0.0198	9606.ENSP00000278616,9606.ENSP00000418960	ATM,BRCA1
WikiPathways	WP3680	Physico-chemical features and toxicity-associated pathways	2	65	1.7	0.0198	9606.ENSP00000257430,9606.ENSP00000302486	APC,MAP2K1
WikiPathways	WP4216	Chromosomal and microsatellite instability in colorectal cancer 	2	72	1.66	0.0226	9606.ENSP00000257430,9606.ENSP00000302486	APC,MAP2K1
WikiPathways	WP4172	PI3K-Akt signaling pathway	3	336	1.17	0.0237	9606.ENSP00000277120,9606.ENSP00000302486,9606.ENSP00000418960	NTRK2,MAP2K1,BRCA1
WikiPathways	WP5114	Nucleotide excision repair in xeroderma pigmentosum 	2	75	1.64	0.0237	9606.ENSP00000310520,9606.ENSP00000418960	ERCC4,BRCA1
WikiPathways	WP4263	Pancreatic adenocarcinoma pathway	2	86	1.58	0.0290	9606.ENSP00000302486,9606.ENSP00000369497	MAP2K1,BRCA2
Monarch	HP:0007565	Multiple cafe-au-lait spots	7	60	2.28	3.62e-11	9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0000008	Abnormal morphology of female internal genitalia	8	355	1.57	2.31e-08	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	APC,BARD1,ATM,FANCD2,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0001034	Hypermelanotic macule	7	194	1.77	2.39e-08	9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0000812	Abnormal internal genitalia	8	391	1.53	2.96e-08	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	APC,BARD1,ATM,FANCD2,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0010460	Abnormality of the female genitalia	8	422	1.49	3.84e-08	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	APC,BARD1,ATM,FANCD2,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0011793	Neoplasm by anatomical site	9	732	1.3	3.85e-08	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	APC,BARD1,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0008669	Abnormal spermatogenesis	6	112	1.94	4.43e-08	9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	ATM,FANCD2,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0033019	Male reproductive system neoplasm	5	41	2.3	4.55e-08	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	APC,BARD1,BRCA2,MAP3K1,BRCA1
Monarch	HP:0002997	Obsolete Abnormality of the ulna	5	46	2.25	6.95e-08	9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0003220	Abnormality of chromosome stability	5	49	2.22	8.68e-08	9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	ATM,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0003002	Breast carcinoma	5	54	2.18	1.20e-07	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000369497,9606.ENSP00000418960	APC,BARD1,ATM,BRCA2,BRCA1
Monarch	HP:0003022	Hypoplasia of the ulna	5	54	2.18	1.20e-07	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0100026	Arteriovenous malformation	5	54	2.18	1.20e-07	9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0010461	Abnormality of the male genitalia	9	951	1.19	1.75e-07	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	APC,BARD1,ATM,FANCD2,MAP2K1,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0012125	Prostate cancer	4	18	2.56	3.18e-07	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000369497,9606.ENSP00000418960	APC,BARD1,BRCA2,BRCA1
Monarch	HP:0040072	Abnormal forearm bone morphology	6	188	1.72	3.61e-07	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000302486,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,MAP2K1,ERCC4,BRCA2,BRCA1
Monarch	HP:0006501	Aplasia/Hypoplasia of the radius	5	81	2.01	4.42e-07	9606.ENSP00000257430,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0005522	Pyridoxine-responsive sideroblastic anemia	4	23	2.46	5.23e-07	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0001824	Weight loss	6	218	1.65	6.50e-07	9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,ATM,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0010293	Aplasia/Hypoplasia of the uvula	4	25	2.42	6.66e-07	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0010469	Absent testis	4	25	2.42	6.66e-07	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0000027	Azoospermia	5	93	1.95	7.05e-07	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,MAP3K1,BRCA1
Monarch	HP:0004377	Hematological neoplasm	6	232	1.63	7.92e-07	9606.ENSP00000257430,9606.ENSP00000278616,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	APC,ATM,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0100867	Duodenal stenosis	4	29	2.35	9.50e-07	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0040012	Chromosome breakage	4	30	2.34	1.03e-06	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0100587	Abnormal preputium morphology	4	30	2.34	1.03e-06	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0100760	Clubbing of toes	4	30	2.34	1.03e-06	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0000324	Facial asymmetry	5	116	1.85	1.56e-06	9606.ENSP00000277120,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	NTRK2,FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0007874	Almond-shaped palpebral fissure	4	35	2.27	1.59e-06	9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000418960	FANCD2,ERCC4,BRCA2,BRCA1
Monarch	HP:0011792	Neoplasm by histology	6	275	1.55	1.61e-06	9606.ENSP00000257430,9606.ENSP00000260947,9606.ENSP00000310520,9606.ENSP00000369497,9606.ENSP00000382423,9606.ENSP00000418960	APC,BARD1,ERCC4,BRCA2,MAP3K1,BRCA1
